TimeCoordinate,Channel_1,Channel_2,Label
0,0,0,Extension
1,0.5279,0.5797,Extension
2,0.5259,0.5816,Extension
3,0.5494,0.6217,Extension
4,0.5464,0.5963,Extension
5,0.5523,0.6237,Extension
6,0.5826,0.651,Extension
7,0.5552,0.608,Extension
8,0.5601,0.6197,Extension
9,0.5621,0.6979,Extension
10,0.5367,0.6217,Extension
11,0.5357,0.6354,Extension
12,0.5396,0.6207,Extension
13,0.5093,0.5503,Extension
14,0.4956,0.5161,Extension
15,0.4829,0.5015,Extension
16,0.4731,0.4927,Extension
17,0.4985,0.5376,Extension
18,0.5054,0.5484,Extension
19,0.5103,0.5543,Extension
-,-,-,-
0,0.5112,0.5533,Extension
1,0.5005,0.5308,Extension
2,0.4682,0.4858,Extension
3,0.4829,0.5083,Extension
4,0.4878,0.5327,Extension
5,0.4946,0.5455,Extension
6,0.523,0.5787,Extension
7,0.5347,0.5718,Extension
8,0.523,0.5298,Extension
9,0.5601,0.6393,Extension
10,0.5015,0.5904,Extension
11,0.5073,0.5415,Extension
12,0.52,0.5787,Extension
13,0.5327,0.6022,Extension
14,0.5298,0.5865,Extension
15,0.5083,0.5601,Extension
16,0.48,0.5034,Extension
17,0.4594,0.4653,Extension
18,0.4868,0.5064,Extension
19,0.5093,0.5337,Extension
-,-,-,-
0,0.5239,0.5777,Extension
1,0.5474,0.6041,Extension
2,0.5142,0.5445,Extension
3,0.4565,0.4545,Extension
4,0.4526,0.4731,Extension
5,0.4721,0.4839,Extension
6,0.5083,0.5543,Extension
7,0.5503,0.6403,Extension
8,0.5415,0.6041,Extension
9,0.4878,0.5122,Extension
10,0.5298,0.5318,Extension
11,0.5191,0.5679,Extension
12,0.563,0.5591,Extension
13,0.5621,0.6579,Extension
14,0.565,0.6491,Extension
15,0.5279,0.5865,Extension
16,0.4761,0.5191,Extension
17,0.433,0.4184,Extension
18,0.435,0.4282,Extension
19,0.5103,0.5386,Extension
-,-,-,-
0,0.565,0.6325,Extension
1,0.5562,0.6256,Extension
2,0.5376,0.5894,Extension
3,0.4673,0.4819,Extension
4,0.4409,0.436,Extension
5,0.48,0.5142,Extension
6,0.52,0.5543,Extension
7,0.5367,0.5914,Extension
8,0.5455,0.6061,Extension
9,0.4751,0.5093,Extension
10,0.4536,0.4731,Extension
11,0.5015,0.522,Extension
12,0.6051,0.74,Extension
13,0.7126,0.8485,Extension
14,0.607,0.6637,Extension
15,0.4966,0.5435,Extension
16,0.4868,0.5259,Extension
17,0.5034,0.5347,Extension
18,0.5044,0.5386,Extension
19,0.4907,0.523,Extension
-,-,-,-
0,0.5073,0.5445,Extension
1,0.4829,0.5034,Extension
2,0.4868,0.5122,Extension
3,0.5122,0.5582,Extension
4,0.5122,0.5591,Extension
5,0.5005,0.5396,Extension
6,0.4995,0.5357,Extension
7,0.4682,0.4927,Extension
8,0.4614,0.4878,Extension
9,0.4936,0.5269,Extension
10,0.4936,0.5357,Extension
11,0.5083,0.5425,Extension
12,0.5621,0.5777,Extension
13,0.522,0.5494,Extension
14,0.5758,0.7243,Extension
15,0.5621,0.6491,Extension
16,0.5054,0.5787,Extension
17,0.5103,0.5738,Extension
18,0.5298,0.5787,Extension
19,0.4966,0.523,Extension
-,-,-,-
0,0.4819,0.5054,Extension
