TimeCoordinate,Channel_1,Channel_2,Label
0,0.1799,0.1701,Flexion
1,0.1799,0.1701,Flexion
2,0.174,0.1564,Flexion
3,0.1652,0.1505,Flexion
4,0.1857,0.1632,Flexion
5,0.2053,0.175,Flexion
6,0.2375,0.1975,Flexion
7,0.2551,0.2111,Flexion
8,0.2659,0.2972,Flexion
9,0.2209,0.2102,Flexion
10,0.2014,0.1857,Flexion
11,0.1848,0.1711,Flexion
12,0.1779,0.1662,Flexion
13,0.1877,0.1711,Flexion
14,0.1877,0.1691,Flexion
15,0.1818,0.1632,Flexion
16,0.1769,0.1603,Flexion
17,0.1779,0.1603,Flexion
18,0.175,0.1593,Flexion
19,0.176,0.1603,Flexion
-,-,-,-
0,0.1808,0.1642,Flexion
1,0.1857,0.1701,Flexion
2,0.1828,0.1701,Flexion
3,0.1828,0.1672,Flexion
4,0.1769,0.1593,Flexion
5,0.1681,0.1447,Flexion
6,0.1632,0.1447,Flexion
7,0.1838,0.1603,Flexion
8,0.1896,0.174,Flexion
9,0.1945,0.1818,Flexion
10,0.2395,0.2669,Flexion
11,0.2845,0.2854,Flexion
12,0.2522,0.2776,Flexion
13,0.2502,0.1906,Flexion
14,0.2082,0.1857,Flexion
15,0.2131,0.1945,Flexion
16,0.2121,0.1975,Flexion
17,0.1994,0.1779,Flexion
18,0.1711,0.1535,Flexion
19,0.1505,0.1261,Flexion
-,-,-,-
0,0.1642,0.1388,Flexion
1,0.1867,0.1613,Flexion
2,0.1984,0.1828,Flexion
3,0.2053,0.1926,Flexion
4,0.1896,0.172,Flexion
5,0.1613,0.132,Flexion
6,0.1554,0.1241,Flexion
7,0.1681,0.1427,Flexion
8,0.1945,0.1672,Flexion
9,0.2023,0.2004,Flexion
10,0.2551,0.2326,Flexion
11,0.2649,0.2796,Flexion
12,0.2747,0.2561,Flexion
13,0.2326,0.2434,Flexion
14,0.216,0.1769,Flexion
15,0.1965,0.1808,Flexion
16,0.1994,0.1848,Flexion
17,0.1935,0.1779,Flexion
18,0.1779,0.1535,Flexion
19,0.1681,0.1417,Flexion
-,-,-,-
0,0.174,0.1496,Flexion
1,0.1867,0.1632,Flexion
2,0.1818,0.1613,Flexion
3,0.1799,0.1574,Flexion
4,0.1779,0.1525,Flexion
5,0.1672,0.1427,Flexion
6,0.1701,0.1427,Flexion
7,0.1789,0.1544,Flexion
8,0.174,0.1486,Flexion
9,0.1632,0.1378,Flexion
10,0.1632,0.1378,Flexion
11,0.1711,0.1427,Flexion
12,0.1965,0.1975,Flexion
13,0.2395,0.2942,Flexion
14,0.2864,0.2815,Flexion
15,0.2326,0.2199,Flexion
16,0.1818,0.1505,Flexion
17,0.1652,0.1417,Flexion
18,0.1681,0.1457,Flexion
19,0.1711,0.1505,Flexion
-,-,-,-
0,0.1799,0.1584,Flexion
1,0.1808,0.1574,Flexion
2,0.1711,0.1466,Flexion
3,0.1652,0.1408,Flexion
4,0.173,0.1466,Flexion
5,0.1672,0.1427,Flexion
6,0.1711,0.1476,Flexion
7,0.1789,0.1574,Flexion
8,0.175,0.1525,Flexion
9,0.1877,0.1789,Flexion
10,0.1672,0.1642,Flexion
11,0.2268,0.1818,Flexion
12,0.2542,0.2776,Flexion
13,0.2708,0.3089,Flexion
14,0.2336,0.2434,Flexion
15,0.1877,0.1574,Flexion
16,0.1642,0.1408,Flexion
17,0.1701,0.1466,Flexion
18,0.1691,0.1466,Flexion
19,0.1681,0.1457,Flexion
-,-,-,-
0,0.175,0.1505,Flexion
1,0.1799,0.1593,Flexion
2,0.176,0.1554,Flexion
3,0.1779,0.1564,Flexion
4,0.1779,0.1544,Flexion
5,0.1632,0.1369,Flexion
6,0.1642,0.1349,Flexion
7,0.1857,0.172,Flexion
8,0.2326,0.2033,Flexion
9,0.2884,0.2727,Flexion
10,0.2874,0.3011,Flexion
11,0.2463,0.2219,Flexion
12,0.1632,0.1359,Flexion
13,0.1525,0.1251,Flexion
14,0.172,0.1476,Flexion
15,0.1857,0.1652,Flexion
16,0.1945,0.1779,Flexion
17,0.1926,0.174,Flexion
18,0.1701,0.1466,Flexion
19,0.1525,0.1193,Flexion
-,-,-,-
0,0.1486,0.1193,Flexion
1,0.175,0.1505,Flexion
2,0.1867,0.1672,Flexion
3,0.1916,0.176,Flexion
4,0.1916,0.1681,Flexion
5,0.1632,0.1349,Flexion
6,0.1437,0.1134,Flexion
7,0.1515,0.1212,Flexion
8,0.172,0.1476,Flexion
9,0.2053,0.1779,Flexion
10,0.2424,0.2444,Flexion
11,0.2747,0.3099,Flexion
12,0.2151,0.1965,Flexion
13,0.1613,0.1281,Flexion
14,0.1632,0.1349,Flexion
15,0.1808,0.1564,Flexion
16,0.1848,0.1623,Flexion
17,0.1818,0.1603,Flexion
18,0.173,0.1505,Flexion
19,0.1603,0.1388,Flexion
-,-,-,-
0,0.1623,0.1378,Flexion
1,0.172,0.1535,Flexion
2,0.1769,0.1554,Flexion
3,0.1711,0.1496,Flexion
4,0.173,0.1486,Flexion
5,0.1672,0.1437,Flexion
6,0.1681,0.1457,Flexion
7,0.1711,0.1457,Flexion
8,0.1789,0.1544,Flexion
9,0.172,0.1427,Flexion
10,0.1857,0.1554,Flexion
11,0.2102,0.2092,Flexion
12,0.2532,0.2092,Flexion
13,0.1896,0.1838,Flexion
14,0.1808,0.1632,Flexion
15,0.1799,0.1496,Flexion
16,0.1632,0.132,Flexion
17,0.1584,0.13,Flexion
18,0.1681,0.1437,Flexion
19,0.1691,0.1437,Flexion
-,-,-,-
0,0.172,0.1505,Flexion
1,0.1799,0.1574,Flexion
2,0.1691,0.1408,Flexion
3,0.1632,0.1359,Flexion
4,0.1603,0.1329,Flexion
5,0.1623,0.1349,Flexion
6,0.1662,0.1388,Flexion
7,0.1701,0.1437,Flexion
8,0.1779,0.1486,Flexion
9,0.1681,0.1466,Flexion
10,0.1984,0.1632,Flexion
11,0.259,0.2561,Flexion
12,0.2669,0.2747,Flexion
13,0.1896,0.1691,Flexion
14,0.1799,0.1574,Flexion
15,0.1769,0.1496,Flexion
16,0.1711,0.1437,Flexion
17,0.1652,0.1398,Flexion
18,0.1642,0.1378,Flexion
19,0.1711,0.1457,Flexion
-,-,-,-
0,0.1681,0.1437,Flexion
1,0.1681,0.1437,Flexion
2,0.1789,0.1554,Flexion
3,0.172,0.1476,Flexion
4,0.1632,0.1388,Flexion
5,0.1603,0.129,Flexion
6,0.1623,0.131,Flexion
7,0.1623,0.1281,Flexion
8,0.1769,0.1574,Flexion
9,0.2669,0.2287,Flexion
10,0.2737,0.2581,Flexion
11,0.219,0.2395,Flexion
12,0.1838,0.1515,Flexion
13,0.1554,0.1193,Flexion
14,0.1574,0.1241,Flexion
15,0.173,0.1466,Flexion
16,0.1935,0.1711,Flexion
17,0.1838,0.1584,Flexion
18,0.1613,0.1339,Flexion
19,0.1466,0.1144,Flexion
-,-,-,-
0,0.1466,0.1163,Flexion
1,0.1574,0.132,Flexion
2,0.176,0.1564,Flexion
3,0.1916,0.172,Flexion
4,0.1799,0.1574,Flexion
5,0.1544,0.1251,Flexion
6,0.1466,0.1124,Flexion
7,0.1457,0.1114,Flexion
8,0.1544,0.1261,Flexion
9,0.1857,0.1544,Flexion
10,0.218,0.2248,Flexion
11,0.3265,0.3402,Flexion
12,0.2278,0.2561,Flexion
13,0.174,0.1388,Flexion
14,0.1544,0.1241,Flexion
15,0.1642,0.1359,Flexion
16,0.1877,0.1662,Flexion
17,0.1808,0.1603,Flexion
18,0.1672,0.1447,Flexion
19,0.1613,0.1349,Flexion
-,-,-,-
0,0.1662,0.1437,Flexion
1,0.1672,0.1427,Flexion
2,0.1672,0.1457,Flexion
3,0.1808,0.1525,Flexion
4,0.1672,0.1408,Flexion
5,0.1593,0.132,Flexion
6,0.1662,0.1369,Flexion
7,0.1691,0.1447,Flexion
8,0.1642,0.1378,Flexion
9,0.1926,0.1613,Flexion
10,0.2346,0.2141,Flexion
11,0.2385,0.2903,Flexion
12,0.2424,0.2131,Flexion
13,0.2229,0.174,Flexion
14,0.1799,0.1564,Flexion
15,0.1701,0.1437,Flexion
16,0.1662,0.1349,Flexion
17,0.1652,0.1388,Flexion
18,0.1642,0.1408,Flexion
19,0.1681,0.1476,Flexion
-,-,-,-
0,0.176,0.1564,Flexion
1,0.1789,0.1603,Flexion
2,0.1691,0.1447,Flexion
3,0.1672,0.1398,Flexion
4,0.1662,0.1369,Flexion
5,0.1593,0.1349,Flexion
6,0.1613,0.1339,Flexion
7,0.1799,0.1457,Flexion
8,0.1955,0.1554,Flexion
9,0.1867,0.1564,Flexion
10,0.1828,0.1848,Flexion
11,0.1848,0.1515,Flexion
12,0.1642,0.1359,Flexion
13,0.1652,0.1349,Flexion
14,0.1769,0.1496,Flexion
15,0.1769,0.1505,Flexion
16,0.1652,0.1408,Flexion
17,0.1662,0.1417,Flexion
18,0.1681,0.1447,Flexion
19,0.1642,0.1427,Flexion
-,-,-,-
0,0.1652,0.1437,Flexion
1,0.176,0.1554,Flexion
2,0.172,0.1496,Flexion
3,0.1691,0.1476,Flexion
4,0.1691,0.1447,Flexion
5,0.1623,0.1378,Flexion
6,0.1525,0.1232,Flexion
7,0.1554,0.1241,Flexion
8,0.1691,0.1437,Flexion
9,0.1984,0.1613,Flexion
10,0.2092,0.1857,Flexion
11,0.2424,0.2268,Flexion
12,0.1779,0.1398,Flexion
13,0.1554,0.1193,Flexion
14,0.1554,0.1241,Flexion
15,0.1779,0.1544,Flexion
16,0.1867,0.1642,Flexion
17,0.1808,0.1584,Flexion
18,0.1711,0.1457,Flexion
19,0.1544,0.1173,Flexion
-,-,-,-
0,0.1486,0.1124,Flexion
1,0.1554,0.1271,Flexion
2,0.1838,0.1603,Flexion
3,0.1935,0.176,Flexion
4,0.1828,0.1623,Flexion
5,0.1652,0.1378,Flexion
6,0.1496,0.1153,Flexion
7,0.1417,0.1046,Flexion
8,0.1564,0.1251,Flexion
9,0.1818,0.1505,Flexion
10,0.2248,0.1799,Flexion
11,0.2414,0.2014,Flexion
12,0.2414,0.2317,Flexion
13,0.2053,0.1613,Flexion
14,0.1584,0.1271,Flexion
15,0.1681,0.1369,Flexion
16,0.1828,0.1544,Flexion
17,0.176,0.1505,Flexion
18,0.1652,0.1398,Flexion
19,0.1632,0.1339,Flexion
-,-,-,-
0,0.1603,0.132,Flexion
1,0.1613,0.1339,Flexion
2,0.1652,0.1388,Flexion
3,0.1769,0.1505,Flexion
4,0.1623,0.1339,Flexion
5,0.1554,0.1271,Flexion
6,0.1603,0.1349,Flexion
7,0.1652,0.1369,Flexion
8,0.1603,0.1339,Flexion
9,0.1808,0.1329,Flexion
10,0.216,0.1564,Flexion
11,0.2248,0.2092,Flexion
12,0.2375,0.2053,Flexion
13,0.1945,0.1525,Flexion
14,0.172,0.1398,Flexion
15,0.1623,0.132,Flexion
16,0.1632,0.1378,Flexion
17,0.1613,0.1359,Flexion
18,0.1593,0.1359,Flexion
19,0.1632,0.1408,Flexion
-,-,-,-
0,0.176,0.1535,Flexion
1,0.1711,0.1486,Flexion
2,0.1642,0.1417,Flexion
3,0.1613,0.1349,Flexion
4,0.1613,0.1359,Flexion
5,0.1584,0.1349,Flexion
6,0.1642,0.1408,Flexion
7,0.174,0.1476,Flexion
8,0.1701,0.1437,Flexion
9,0.1603,0.13,Flexion
10,0.1681,0.13,Flexion
11,0.2141,0.1681,Flexion
12,0.2522,0.262,Flexion
13,0.3001,0.3236,Flexion
14,0.2375,0.1975,Flexion
15,0.1769,0.1408,Flexion
16,0.1632,0.13,Flexion
17,0.1623,0.1349,Flexion
18,0.1623,0.1359,Flexion
19,0.1603,0.1359,Flexion
-,-,-,-
0,0.1642,0.1398,Flexion
1,0.175,0.1525,Flexion
2,0.173,0.1505,Flexion
3,0.1672,0.1447,Flexion
4,0.1711,0.1476,Flexion
5,0.1681,0.1417,Flexion
6,0.1672,0.1427,Flexion
7,0.4536,0.4868,Flexion
8,0.5083,0.5679,Flexion
9,0.1887,0.172,Flexion
10,0.1662,0.1437,Flexion
11,0.1623,0.1408,Flexion
12,0.1457,0.1232,Flexion
13,0.1554,0.1193,Flexion
14,0.1828,0.1427,Flexion
15,0.262,0.2239,Flexion
16,0.3196,0.3128,Flexion
17,0.3157,0.3412,Flexion
18,0.2199,0.176,Flexion
19,0.1505,0.1144,Flexion
-,-,-,-
0,0.1398,0.1017,Flexion
1,0.1515,0.1183,Flexion
2,0.1789,0.1515,Flexion
3,0.1867,0.1652,Flexion
4,0.1838,0.1642,Flexion
5,0.172,0.1496,Flexion
6,0.1515,0.1232,Flexion
7,0.1427,0.1114,Flexion
