TimeCoordinate,Channel_1,Channel_2,Extension

0,0,0,Extension

1,0.4389,0.3969,Extension

2,0.4526,0.4184,Extension

3,0.4721,0.4311,Extension

4,0.4858,0.4624,Extension

5,0.5083,0.4809,Extension

6,0.5083,0.4761,Extension

7,0.4976,0.4682,Extension

8,0.4829,0.4467,Extension

9,0.4741,0.4311,Extension

10,0.4858,0.4242,Extension

11,0.4848,0.4223,Extension

12,0.5024,0.434,Extension

13,0.6158,0.5885,Extension

14,0.5308,0.5054,Extension

15,0.522,0.4829,Extension

16,0.5259,0.4819,Extension

17,0.5112,0.4673,Extension

18,0.4936,0.4545,Extension

19,0.48,0.4301,Extension

-,-,-,-

0,0.4624,0.4154,Extension

1,0.4565,0.4106,Extension

2,0.4731,0.4262,Extension

3,0.4839,0.4418,Extension

4,0.5005,0.4585,Extension

5,0.5112,0.4526,Extension

6,0.5142,0.4712,Extension

7,0.5064,0.4633,Extension

8,0.5034,0.4663,Extension

9,0.4761,0.4418,Extension

10,0.5191,0.4291,Extension

11,0.5367,0.4624,Extension

12,0.6491,0.6843,Extension

13,0.6931,0.6207,Extension

14,0.5357,0.4712,Extension

15,0.5122,0.4301,Extension

16,0.4907,0.4487,Extension

17,0.5093,0.4643,Extension

18,0.5103,0.4633,Extension

19,0.5142,0.478,Extension

-,-,-,-

0,0.5083,0.4702,Extension

1,0.5132,0.4653,Extension

2,0.4897,0.435,Extension

3,0.4643,0.4125,Extension

4,0.4614,0.3998,Extension

5,0.4467,0.3891,Extension

6,0.4506,0.4184,Extension

7,0.5024,0.4536,Extension

8,0.5308,0.4927,Extension

9,0.564,0.5318,Extension

10,0.5709,0.5376,Extension

11,0.5308,0.4985,Extension

12,0.4848,0.4467,Extension

13,0.5181,0.4545,Extension

14,0.6276,0.5093,Extension

15,0.6188,0.5005,Extension

16,0.5327,0.5015,Extension

17,0.5455,0.5054,Extension

18,0.5738,0.5611,Extension

19,0.6041,0.5797,Extension

-,-,-,-

0,0.6022,0.5738,Extension

1,0.5445,0.5073,Extension

2,0.4946,0.4438,Extension

3,0.4203,0.3734,Extension

4,0.3851,0.3284,Extension

5,0.4027,0.3412,Extension

6,0.4428,0.3871,Extension

7,0.5112,0.4673,Extension

8,0.5738,0.5308,Extension

9,0.6119,0.5787,Extension

10,0.6031,0.5797,Extension

11,0.65,0.6891,Extension

12,0.7517,0.7253,Extension

13,0.5875,0.4936,Extension

14,0.433,0.3705,Extension

15,0.4047,0.3431,Extension

16,0.4262,0.3627,Extension

17,0.4888,0.4389,Extension

18,0.5572,0.5083,Extension

19,0.5826,0.5503,Extension

-,-,-,-

0,0.5914,0.5552,Extension

1,0.5767,0.523,Extension

2,0.5044,0.4594,Extension

3,0.4682,0.4223,Extension

4,0.434,0.3793,Extension

5,0.4409,0.3822,Extension

6,0.4497,0.3959,Extension

7,0.5054,0.4575,Extension

8,0.5386,0.4976,Extension

9,0.563,0.5308,Extension

10,0.5533,0.5161,Extension

11,0.5269,0.4809,Extension

12,0.5034,0.4575,Extension

