TimeCoordinate,Channel_1,Channel_2,Flexion

0,0,0,Flexion

1,0.3822,0.3783,Flexion

2,0.3744,0.3597,Flexion

3,0.3578,0.3431,Flexion

4,0.3431,0.3226,Flexion

5,0.3431,0.3226,Flexion

6,0.3509,0.3343,Flexion

7,0.3949,0.3754,Flexion

8,0.5572,0.608,Flexion

9,0.7761,0.8866,Flexion

10,0.9159,0.783,Flexion

11,0.5269,0.4565,Flexion

12,0.4301,0.4008,Flexion

13,0.3871,0.3558,Flexion

14,0.3636,0.3363,Flexion

15,0.3539,0.3324,Flexion

16,0.3685,0.3421,Flexion

17,0.3715,0.3607,Flexion

18,0.3822,0.3734,Flexion

19,0.3832,0.3734,Flexion

-,-,-,-

0,0.3705,0.3636,Flexion

1,0.3695,0.3568,Flexion

2,0.3558,0.3431,Flexion

3,0.3597,0.3402,Flexion

4,0.4018,0.3812,Flexion

5,0.4888,0.4477,Flexion

6,0.6852,0.7449,Flexion

7,0.783,0.8729,Flexion

8,0.7087,0.6119,Flexion

9,0.4516,0.4145,Flexion

10,0.4018,0.3675,Flexion

11,0.3842,0.3529,Flexion

12,0.3891,0.3685,Flexion

13,0.3822,0.35,Flexion

14,0.3803,0.3627,Flexion

15,0.3705,0.348,Flexion

16,0.3627,0.3431,Flexion

17,0.3382,0.3177,Flexion

18,0.3284,0.3069,Flexion

19,0.3392,0.3226,Flexion

-,-,-,-

0,0.3539,0.3441,Flexion

1,0.391,0.3803,Flexion

2,0.4096,0.4008,Flexion

3,0.4252,0.4223,Flexion

4,0.4751,0.4575,Flexion

5,0.6989,0.6891,Flexion

6,0.6784,0.7664,Flexion

7,0.5396,0.5758,Flexion

8,0.3519,0.2766,Flexion

9,0.3343,0.2874,Flexion

10,0.3607,0.3304,Flexion

11,0.4154,0.4096,Flexion

12,0.4624,0.4624,Flexion

13,0.4682,0.4721,Flexion

14,0.4311,0.4379,Flexion

15,0.3793,0.3715,Flexion

16,0.3314,0.304,Flexion

17,0.2874,0.2659,Flexion

18,0.2972,0.2571,Flexion

19,0.3304,0.2913,Flexion

-,-,-,-

0,0.392,0.3744,Flexion

1,0.5327,0.5288,Flexion

2,0.7683,0.7898,Flexion

3,0.8074,0.8456,Flexion

4,0.5279,0.4839,Flexion

5,0.4184,0.3939,Flexion

6,0.3529,0.3226,Flexion

7,0.3138,0.2737,Flexion

8,0.3099,0.2737,Flexion

9,0.347,0.3128,Flexion

10,0.3881,0.3656,Flexion

11,0.4545,0.4262,Flexion

12,0.4712,0.4536,Flexion

13,0.4673,0.4585,Flexion

14,0.4848,0.4418,Flexion

15,0.5191,0.5239,Flexion

16,0.6188,0.5494,Flexion

17,0.6921,0.6872,Flexion

18,0.4536,0.3685,Flexion

19,0.3744,0.3187,Flexion

-,-,-,-

0,0.3871,0.3392,Flexion

1,0.4145,0.3763,Flexion

2,0.4301,0.3939,Flexion

3,0.4252,0.3978,Flexion

4,0.3998,0.392,Flexion

5,0.3695,0.346,Flexion

6,0.3558,0.3314,Flexion

7,0.3392,0.3187,Flexion

8,0.3558,0.3343,Flexion

9,0.3705,0.3509,Flexion

10,0.3842,0.3627,Flexion

11,0.4203,0.392,Flexion

12,0.4761,0.4282,Flexion

13,0.7449,0.7742,Flexion

14,0.7283,0.8006,Flexion

15,0.5865,0.5816,Flexion

16,0.433,0.4125,Flexion

17,0.4096,0.3851,Flexion

18,0.4076,0.3812,Flexion

19,0.4115,0.3812,Flexion

-,-,-,-

0,0.3949,0.3656,Flexion

1,0.3812,0.3587,Flexion

2,0.3822,0.3509,Flexion

3,0.3724,0.3412,Flexion

4,0.3744,0.3421,Flexion

5,0.3793,0.3587,Flexion

6,0.4037,0.3803,Flexion

7,0.4066,0.3861,Flexion

8,0.4008,0.3705,Flexion

9,0.4936,0.39,Flexion

10,0.7439,0.6354,Flexion

11,0.5992,0.5728,Flexion

12,0.3793,0.3069,Flexion

13,0.3333,0.3069,Flexion

14,0.3382,0.3069,Flexion

15,0.3568,0.3226,Flexion

16,0.3636,0.3324,Flexion

17,0.3744,0.3656,Flexion

18,0.3793,0.3666,Flexion

19,0.3646,0.35,Flexion

-,-,-,-

0,0.3343,0.3275,Flexion

1,0.346,0.3196,Flexion

2,0.3187,0.2981,Flexion

3,0.3245,0.2962,Flexion

4,0.3343,0.2991,Flexion

5,0.3529,0.3196,Flexion

6,0.4321,0.4213,Flexion

7,0.6569,0.6413,Flexion

8,0.7869,0.8612,Flexion

9,0.5132,0.4389,Flexion

10,0.3861,0.3646,Flexion

11,0.3666,0.3294,Flexion

12,0.3685,0.347,Flexion

13,0.3744,0.3539,Flexion

14,0.3881,0.3724,Flexion

15,0.3988,0.392,Flexion

16,0.4027,0.3978,Flexion

17,0.4066,0.4027,Flexion

18,0.4027,0.393,Flexion

19,0.3812,0.3763,Flexion

-,-,-,-

0,0.3861,0.3754,Flexion

1,0.3617,0.348,Flexion

2,0.3617,0.3441,Flexion

3,0.3763,0.3548,Flexion

4,0.5024,0.5425,Flexion

5,0.6676,0.6774,Flexion

6,0.7439,0.6794,Flexion

7,0.4604,0.3998,Flexion

8,0.3978,0.3617,Flexion

9,0.393,0.3715,Flexion

10,0.392,0.3715,Flexion
